update,attempts_horiztrans,successes_horiztrans,attempts_verttrans
0,0,0,0
100,135858,21051,109020
200,97074,19458,141792
300,103325,20500,145189
400,115384,22438,147942
500,124269,23860,149287
600,132815,24447,151148
700,136612,25094,151193
800,138385,25440,151252
900,139047,25486,151605
1000,140669,25321,151951
